customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment
151,1001,408,2024-01-01,Sports,2.3,A120,Facebook,83,1.4,Positive
192,1002,332,2024-01-02,Electronics,4.2,A103,Instagram,77,2.3,Positive
114,1003,442,2024-01-03,Electronics,2.1,A121,LinkedIn,74,3.5,Positive
171,1004,256,2024-01-04,Clothing,2.8,A155,Instagram,59,1.5,Positive
160,1005,64,2024-01-05,Clothing,1.3,A117,LinkedIn,98,3.8,Neutral
120,1006,395,2024-01-06,Groceries,1.1,A117,LinkedIn,78,3.9,Neutral
182,1007,91,2024-01-07,Sports,4.9,A145,Twitter,92,2.4,Neutral
186,1008,429,2024-01-08,Clothing,4.3,A137,LinkedIn,93,3.5,Neutral
174,1009,228,2024-01-09,Electronics,3.8,A121,TikTok,95,3.2,Neutral
174,1010,112,2024-01-10,Sports,2.6,A177,Twitter,65,1.3,Positive
187,1011,401,2024-01-11,Sports,1.7,A107,Facebook,62,4.4,Positive
199,1012,280,2024-01-12,Electronics,1.6,A137,LinkedIn,93,3.5,Neutral
123,1013,290,2024-01-13,Clothing,2.0,A189,LinkedIn,78,2.7,Negative
102,1014,101,2024-01-14,Electronics,3.2,A135,TikTok,50,1.6,Positive
121,1015,145,2024-01-15,Sports,3.9,A155,TikTok,98,4.8,Positive
152,1016,437,2024-01-16,Books,3.6,A151,Twitter,82,3.6,Negative
101,1017,271,2024-01-17,Books,2.1,A127,Twitter,57,4.0,Positive
187,1018,456,2024-01-18,Groceries,4.8,A182,Twitter,57,1.2,Negative
129,1019,280,2024-01-19,Electronics,4.0,A174,Facebook,95,2.9,Neutral
137,1020,286,2024-01-20,Electronics,3.2,A174,TikTok,64,3.8,Positive
101,1021,192,2024-01-21,Groceries,3.4,A148,Facebook,75,1.7,Neutral
163,1022,220,2024-01-22,Groceries,2.7,A155,Instagram,84,3.1,Positive
159,1023,78,2024-01-23,Groceries,2.0,A197,Twitter,92,2.3,Neutral
120,1024,85,2024-01-24,Sports,2.4,A122,Twitter,77,4.2,Neutral
132,1025,62,2024-01-25,Electronics,4.0,A152,Facebook,95,4.1,Positive
